year,stock,capture,taxa,effort
1978,Dissostichus eleginoides483,649,Dissostichus eleginoides483,1627
1978,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1978,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1978,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1979,Dissostichus eleginoides483,219,Dissostichus eleginoides483,844
1979,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1979,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1979,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1980,Dissostichus eleginoides483,100,Dissostichus eleginoides483,886
1980,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1980,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1980,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1981,Dissostichus eleginoides483,7,Dissostichus eleginoides483,335
1981,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1981,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1981,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1982,Dissostichus eleginoides483,1e-06,Dissostichus eleginoides483,335
1982,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1982,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1982,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1983,Dissostichus eleginoides483,218,Dissostichus eleginoides483,987
1983,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1983,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1983,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1984,Dissostichus eleginoides483,268,Dissostichus eleginoides483,1187
1984,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1984,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1984,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1985,Dissostichus eleginoides483,521,Dissostichus eleginoides483,328
1985,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1985,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1985,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1986,Dissostichus eleginoides483,701.077,Dissostichus eleginoides483,859
1986,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1986,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1986,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1987,Dissostichus eleginoides483,1907.717,Dissostichus eleginoides483,2823
1987,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1987,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1987,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1988,Dissostichus eleginoides483,839.196,Dissostichus eleginoides483,1131
1988,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1988,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1988,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1989,Dissostichus eleginoides483,7060.06,Dissostichus eleginoides483,1337
1989,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1989,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1989,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1990,Dissostichus eleginoides483,6784.55,Dissostichus eleginoides483,1092
1990,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1990,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1990,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1991,Dissostichus eleginoides483,1756.4,Dissostichus eleginoides483,218
1991,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1991,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1991,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1992,Dissostichus eleginoides483,3750.068,Dissostichus eleginoides483,727
1992,Dissostichus eleginoides484,29.799,Dissostichus eleginoides484,4
1992,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1992,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1993,Dissostichus eleginoides483,2989.936,Dissostichus eleginoides483,397
1993,Dissostichus eleginoides484,9.54,Dissostichus eleginoides484,13
1993,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1993,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1994,Dissostichus eleginoides483,644.202,Dissostichus eleginoides483,179
1994,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1994,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1994,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1995,Dissostichus eleginoides483,3091.175,Dissostichus eleginoides483,665
1995,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1995,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1995,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1996,Dissostichus eleginoides483,2805.245,Dissostichus eleginoides483,592
1996,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1996,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1996,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1997,Dissostichus eleginoides483,3454.067,Dissostichus eleginoides483,982
1997,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1997,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1997,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1998,Dissostichus eleginoides483,3201.169,Dissostichus eleginoides483,766
1998,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1998,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1998,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
1999,Dissostichus eleginoides483,3626.802,Dissostichus eleginoides483,901
1999,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
1999,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
1999,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
2000,Dissostichus eleginoides483,4793.941,Dissostichus eleginoides483,1091
2000,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
2000,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
2000,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
2001,Dissostichus eleginoides483,4046.807,Dissostichus eleginoides483,1202
2001,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
2001,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
2001,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
2002,Dissostichus eleginoides483,5742.461,Dissostichus eleginoides483,1435
2002,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
2002,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
2002,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
2003,Dissostichus eleginoides483,7528.442,Dissostichus eleginoides483,1710
2003,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
2003,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
2003,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
2004,Dissostichus eleginoides483,4497.151,Dissostichus eleginoides483,1243
2004,Dissostichus eleginoides484,1e-06,Dissostichus eleginoides484,4
2004,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
2004,Dissostichus mawsoni486,1e-06,Dissostichus mawsoni486,3
2005,Dissostichus eleginoides483,3034.148,Dissostichus eleginoides483,764
2005,Dissostichus eleginoides484,26.884,Dissostichus eleginoides484,4
2005,Dissostichus mawsoni484,1e-06,Dissostichus mawsoni484,12
2005,Dissostichus mawsoni486,2.262,Dissostichus mawsoni486,3
2006,Dissostichus eleginoides483,3535.1812,Dissostichus eleginoides483,836
2006,Dissostichus eleginoides484,18.34598,Dissostichus eleginoides484,20
2006,Dissostichus mawsoni484,0.4333,Dissostichus mawsoni484,12
2006,Dissostichus mawsoni486,63.0491,Dissostichus mawsoni486,109
2007,Dissostichus eleginoides483,3538.948963,Dissostichus eleginoides483,895
2007,Dissostichus eleginoides484,54.0358,Dissostichus eleginoides484,30
2007,Dissostichus mawsoni484,0.1799,Dissostichus mawsoni484,14
2007,Dissostichus mawsoni486,34.4097,Dissostichus mawsoni486,104
2008,Dissostichus eleginoides483,3864.2397,Dissostichus eleginoides483,1114
2008,Dissostichus eleginoides484,97.63326,Dissostichus eleginoides484,40
2008,Dissostichus mawsoni484,0.3144,Dissostichus mawsoni484,20
2008,Dissostichus mawsoni486,11.11777,Dissostichus mawsoni486,20
2009,Dissostichus eleginoides483,3381.655059,Dissostichus eleginoides483,1038
2009,Dissostichus eleginoides484,74.39605,Dissostichus eleginoides484,70
2009,Dissostichus mawsoni484,59.09237,Dissostichus mawsoni484,56
2009,Dissostichus mawsoni486,265.36098,Dissostichus mawsoni486,55
2010,Dissostichus eleginoides483,2518.617502,Dissostichus eleginoides483,875
2010,Dissostichus eleginoides484,57.46749,Dissostichus eleginoides484,63
2010,Dissostichus mawsoni484,56.31124,Dissostichus mawsoni484,57
2010,Dissostichus mawsoni486,342.32055,Dissostichus mawsoni486,149
2011,Dissostichus eleginoides483,1762.854424,Dissostichus eleginoides483,555
2011,Dissostichus eleginoides484,38.64937,Dissostichus eleginoides484,46
2011,Dissostichus mawsoni484,15.15851,Dissostichus mawsoni484,46
2011,Dissostichus mawsoni486,359.21028,Dissostichus mawsoni486,101
2012,Dissostichus eleginoides483,1805.6852,Dissostichus eleginoides483,594
2012,Dissostichus eleginoides484,55.4114,Dissostichus eleginoides484,46
2012,Dissostichus mawsoni484,22.2369,Dissostichus mawsoni484,38
2012,Dissostichus mawsoni486,377.1864,Dissostichus mawsoni486,121
2013,Dissostichus eleginoides483,2093.980357,Dissostichus eleginoides483,634
2013,Dissostichus eleginoides484,70.05589,Dissostichus eleginoides484,49
2013,Dissostichus mawsoni484,39.5309,Dissostichus mawsoni484,49
2013,Dissostichus mawsoni486,275.36302,Dissostichus mawsoni486,173
2014,Dissostichus eleginoides483,2179.98302,Dissostichus eleginoides483,605
2014,Dissostichus eleginoides484,43.84428,Dissostichus eleginoides484,25
2014,Dissostichus mawsoni484,23.88955,Dissostichus mawsoni484,25
2014,Dissostichus mawsoni486,145.1366,Dissostichus mawsoni486,67
2015,Dissostichus eleginoides483,2195.386414,Dissostichus eleginoides483,511
2015,Dissostichus eleginoides484,41.69523,Dissostichus eleginoides484,28
2015,Dissostichus mawsoni484,27.63997,Dissostichus mawsoni484,28
2015,Dissostichus mawsoni486,187.51467,Dissostichus mawsoni486,83
2016,Dissostichus eleginoides483,2195.84573,Dissostichus eleginoides483,518
2016,Dissostichus eleginoides484,41.60134,Dissostichus eleginoides484,38
2016,Dissostichus mawsoni484,27.77508,Dissostichus mawsoni484,38
2016,Dissostichus mawsoni486,232.0815,Dissostichus mawsoni486,143
2017,Dissostichus eleginoides483,2195.1489,Dissostichus eleginoides483,501
2017,Dissostichus eleginoides484,27.9282,Dissostichus eleginoides484,47
2017,Dissostichus mawsoni484,36.1144,Dissostichus mawsoni484,39
2017,Dissostichus mawsoni486,435.4786,Dissostichus mawsoni486,145
2018,Dissostichus eleginoides483,1949.9655,Dissostichus eleginoides483,533
2018,Dissostichus eleginoides484,16.7154,Dissostichus eleginoides484,40
2018,Dissostichus mawsoni484,37.0847,Dissostichus mawsoni484,40
2018,Dissostichus mawsoni486,517.0426,Dissostichus mawsoni486,181
2019,Dissostichus eleginoides483,2124.630691,Dissostichus eleginoides483,621
2019,Dissostichus eleginoides484,17.38944,Dissostichus eleginoides484,42
2019,Dissostichus mawsoni484,65.30474,Dissostichus mawsoni484,42
2019,Dissostichus mawsoni486,375.96159,Dissostichus mawsoni486,128
2020,Dissostichus eleginoides483,1883.8359,Dissostichus eleginoides483,538
2020,Dissostichus eleginoides484,18.63628,Dissostichus eleginoides484,30
2020,Dissostichus mawsoni484,43.89367,Dissostichus mawsoni484,30
2020,Dissostichus mawsoni486,333.36841,Dissostichus mawsoni486,152
